"","WTB1R1","WTB1R2","WTB1R3","WTB1R4","DIG1R1","DIG1R2","DIG1R3","DIG1R4","SAN1R1","SAN1R2","SAN1R3","SAN1R4","TOS8R1","TOS8R2","TOS8R3","TOS8R4","ROF1R1","ROF1R2","ROF1R3","ROF1R4","SFL1R1","SFL1R2","SFL1R3","SFL1R4","HEK2R1","HEK2R2","HEK2R3","HEK2R4"
"14R-286",2.04005893751613,3.46533575660151,3.64889202027901,3.86337148779646,3.20995244895777,1.83784783448117,3.8239495955614,2.08608388941149,3.9576579742077,4.20361753184372,3.24788888744764,4.49404853377375,6.29274201240249,6.39219258027141,9.52788544368641,5.58230151823493,4.89012765881382,5.4346850011684,2.65695720859665,3.65218556687511,6.34792193505781,5.68991513700625,5.59416069964534,4.05256571274919,3.89970020020733,4.26235606378769,3.01244097431265,2.67148552042527
"YBR292C",6.04086931042823,5.00237984219088,5.15029991966263,6.54363738449138,6.72343930090047,5.30604455438919,6.72006850384072,7.22727128138045,6.771046856709,5.39388916272419,8.204848338653,8.03198996781222,6.39235829873981,7.24304374318475,9.48549218253541,8.86138540529035,7.96415331695981,8.41138144178175,8.73629433418046,6.28953066213977,7.02955915565836,8.72068435076406,8.41950809156744,10.8246280130751,4.93243186613013,7.85103416027306,8.47420327017149,7.36748630765333
"YGR240C",261.263929131905,248.557520506982,253.170950841715,255.040494835517,232.145152419285,245.954140828826,237.720965818629,261.268728657095,210.646034120684,227.330338628479,235.81464921497,200.44955343215,194.109483076606,193.278117690482,181.684169995158,188.747060682006,210.965545752837,199.455744707447,211.054792282603,221.582007599824,253.710572579843,254.941870650112,251.961842544977,262.321287220883,226.881881162095,247.567039102663,264.715475219235,264.800731303566
"YBR063C",20.4375287139476,21.9017776201799,20.9295240730802,20.945514950134,20.8635253581496,24.9873834794116,21.358835014206,22.7016290784505,20.8174860355856,18.6107104520508,18.7809509061607,17.7817426523873,20.807770067165,20.29277183614,23.7757179525767,20.5518501510845,19.7289328857393,20.0744181595065,20.0937400307751,16.8780491668401,24.2385481244958,22.6021710511678,18.1439200013151,18.0331856659363,17.7281609101489,15.8000837282899,15.9770943526508,16.9414286483909
"11F-244",3.13667471273283,3.03035492733318,2.89421367732333,2.53726826165632,1.21312143458354,1.96794474001274,1.18685158022539,1.4891685591412,1.88347165804767,3.00078778943181,3.04307435890221,1.94778374708354,2.12128214730705,1.98716539030983,1.87629277070292,1.80761660411008,2.68527602094539,2.51973739639539,2.84503693123908,3.70488804002885,3.66245939202368,2.63264416626743,3.09266308800999,3.07007806411537,2.66452667717343,2.84641434755371,2.64671553046443,2.41940757984378
"MUT756.1",5.28483413292679,4.43973998263976,4.03674743656769,3.1678066088893,4.70005307454757,2.88321439414662,5.35563741702527,4.07262730693559,5.68754089241967,3.78768620770817,2.97225005548634,3.05511274849299,4.0950722843719,5.13264516703368,5.38791474155631,3.87617656071903,5.69143062844274,4.26589488253962,2.59356695481281,2.25161112119908,5.09299056559531,4.31990527405519,3.44885937870719,4.35953982771266,3.2628517012544,3.0869441545597,1.69648241120643,4.02838783539634
"YPR086W",81.4015869160133,81.9291505483448,88.9885942678859,87.3023697082774,116.63554864093,107.575562262067,93.9255817473229,96.4100350123777,93.0203546981409,104.980576447649,97.3154183629392,107.612237309968,91.394971283108,91.1009613067098,90.56068050896,101.822696604286,108.892254267866,102.531086989248,97.2878072562028,114.293667700577,97.8314176904053,106.115922493771,103.751999666385,108.450553117737,111.05719298482,111.693032972084,100.220924224109,106.027390558298
"YOL141W",3.33636517662157,4.01052866658407,5.03279917262748,4.92824100822588,6.8957548468229,4.95172740297404,6.21431622180564,6.15194930911887,5.52903969860577,5.72892073980764,4.87261108234182,3.74258064813178,4.9750568368595,4.18946956236643,4.16852855684602,5.15068026682502,3.74073867917809,3.72723607359825,3.75829651129799,4.21853577879828,5.6954050028261,5.20303861825859,4.86066539746933,5.38852763666432,4.33652211918513,4.35340503256262,4.92662392173914,3.21313085196686
"YJL065C",30.0964738858835,36.0608064338252,38.8204785430847,36.0041693319851,50.4301212942702,51.0992544727685,49.3643127396644,45.2437379422574,43.7296776162456,52.2150204571039,36.9125149748017,43.0947154042233,53.1414849045613,52.4352899294614,56.009572887352,54.6953190239037,47.2045595229616,43.8567785125379,46.8675302317997,44.2381274303444,50.1553466741021,48.64944342965,53.7186975741513,47.7026499203652,48.9898732293847,50.9162038826483,42.4665900719496,42.7668693032307
"YBR271W",17.2107243258534,18.510393473199,18.753631770962,18.0020846659925,23.8738340169683,18.798557849836,21.3518367065343,20.4683460734405,19.5325893352564,20.5185124376889,19.6097735803634,14.8665367426209,19.9653055435828,20.3003664363781,20.1261065241885,22.8919122970001,18.9530759745023,14.7728096042233,15.7902685747406,18.2414006935,23.6199563647496,17.4838615156404,16.6832707037854,16.2611988891097,18.1397075027059,16.6421761028196,15.4064838400561,14.1612150010698
